CustomerKey,FirstName,MiddleName,LastName,BirthDate,AddressLine1,Phone,City
5,Leanne,A,Cornwell,5/5/1980,100 Main Street,504-555-5763,New Orleans
6,Leanne,A,Cornwell,5/5/1980,123 Elm Street,504-555-5763,New Orleans
10,Julie,,Smith,1/26/1980,1717 Linden Street,337-555-1234,New Orleans
11,Julie,,Simpson,1/26/1980,1717 Linden Street,337-555-1234,New Orleans
11000,Jon,V,Yang,4/8/1966,3761 N. 14th St,1 (11) 500 555-0162,Baton Rouge
11001,Eugene,L,Huang,5/14/1965,2243 W St.,1 (11) 500 555-0110,New York
11002,Ruben,,Torres,8/12/1965,5844 Linden Land,1 (11) 500 555-0184,Denver
11003,Christy,,Zhu,2/15/1968,1825 Village Pl.,1 (11) 500 555-0162,Atlanta
11004,Elizabeth,,Johnson,8/8/1968,7553 Harness Circle,1 (11) 500 555-0131,Boston
7,Elizabeth,,Johnston,8/8/1968,7553 Harness Circle,1 (11) 500 555-0131,Boston
11005,Julio,,Ruiz,8/5/1965,7305 Humphrey Drive,1 (11) 500 555-0151,
11006,Janet,G,Alvarez,12/6/1965,2612 Berry Dr,1 (11) 500 555-0184,
11007,Marco,,Mehta,5/9/1964,942 Brook Street,1 (11) 500 555-0126,
11008,Rob,,Verhoff,7/7/1964,624 Peabody Road,1 (11) 500 555-0164,
11009,Shannon,C,Carlson,4/1/1964,3839 Northgate Road,1 (11) 500 555-0110,
11010,Jacquelyn,C,Suarez,2/6/1964,7800 Corrinne Court,1 (11) 500 555-0169,
11011,Curtis,,Lu,11/4/1963,1224 Shoenic,1 (11) 500 555-0117,
11012,Lauren,M,Walker,1/18/1968,4785 Scott Street,717-555-0164,
11013,Ian,M,Jenkins,8/6/1968,7902 Hudson Ave.,817-555-0185,
11014,Sydney,,Bennett,5/9/1968,9011 Tank Drive,431-555-0156,
11015,Chloe,,Young,2/27/1979,244 Willow Pass Road,208-555-0142,
11016,Wyatt,L,Hill,4/28/1979,9666 Northridge Ct.,135-555-0171,
11017,Shannon,,Wang,6/26/1944,7330 Saddlehill Lane,1 (11) 500 555-0195,
11018,Clarence,D,Rai,10/9/1944,244 Rivewview,1 (11) 500 555-0137,
11019,Luke,L,Lal,3/7/1978,7832 Landing Dr,262-555-0112,
11020,Jordan,C,King,9/20/1978,7156 Rose Dr.,550-555-0163,
11021,Destiny,,Wilson,9/3/1978,8148 W. Lake Dr.,622-555-0158,
11022,Ethan,G,Zhang,10/12/1978,1769 Nicholas Drive,589-555-0185,
9,Seth,M,Edwards,2/22/1956,6385 Mark Twain,1 (11) 500 555-0184,
11023,Seth,M,Edwards,10/11/1978,4499 Valley Crest,452-555-0188,
11024,Russell,,Xie,9/17/1978,8734 Oxford Place,746-555-0186,
11025,Alejandro,,Beck,12/23/1945,2596 Franklin Canyon Road,1 (11) 500 555-0178,
11026,Harold,,Sai,4/3/1946,8211 Leeds Ct.,1 (11) 500 555-0131,
11027,Jessie,R,Zhao,12/7/1946,213 Valencia Place,1 (11) 500 555-0184,
11028,Jill,,Jimenez,4/11/1946,9111 Rose Ann Ave,1 (11) 500 555-0116,
11029,Jimmy,L,Moreno,12/21/1946,6385 Mark Twain,1 (11) 500 555-0146,
11030,Bethany,G,Yuan,2/22/1947,636 Vine Hill Way,1 (11) 500 555-0182,
11031,Theresa,G,Ramos,8/22/1947,6465 Detroit Ave.,1 (11) 500 555-0195,
11032,Denise,,Stone,6/11/1947,626 Bentley Street,1 (11) 500 555-0169,
11033,Jaime,,Nath,9/23/1947,5927 Rainbow Dr,1 (11) 500 555-0137,
11034,Ebony,,Gonzalez,6/19/1947,5167 Condor Place,1 (11) 500 555-0136,
11035,Wendy,,Dominguez,2/24/1948,1873 Mt. Whitney Dr,1 (11) 500 555-0177,
11036,Jennifer,C,Russell,12/18/1978,3981 Augustine Drive,115-555-0183,
11037,Chloe,M,Garcia,11/27/1977,8915 Woodside Way,229-555-0112,
11038,Diana,F,Hernandez,3/23/1948,8357 Sandy Cove Lane,1 (11) 500 555-0114,
11039,Marc,J,Martin,12/17/1948,9353 Creekside Dr.,1 (11) 500 555-0183,
11040,Jesse,,Murphy,8/1/1977,3350 Kingswood Circle,961-555-0176,
11041,Amanda,M,Carter,10/16/1977,5826 Escobar,295-555-0145,
11042,Megan,J,Sanchez,6/13/1977,1397 Paraiso Ct.,404-555-0199,
11043,Nathan,M,Simmons,2/24/1976,1170 Shaw Rd,296-555-0181,
11044,Adam,L,Flores,5/24/1949,6935 Candle Dr,1 (11) 500 555-0163,
11045,Leonard,G,Nara,5/19/1950,7466 La Vista Ave.,1 (11) 500 555-0151,
11046,Christine,,Yuan,3/22/1950,2356 Orange St,1 (11) 500 555-0113,
11047,Jaclyn,D,Lu,2/27/1950,2812 Mazatlan,1 (11) 500 555-0137,
11048,Jeremy,,Powell,11/22/1950,1803 Potomac Dr.,1 (11) 500 555-0183,
11049,Carol,C,Rai,7/18/1980,6064 Madrid,654-555-0180,
11050,Alan,,Zheng,9/7/1951,2741 Gainborough Dr.,1 (11) 500 555-0135,
11051,Daniel,,Johnson,8/4/1951,8085 Sunnyvale Avenue,1 (11) 500 555-0155,
11052,Heidi,,Lopez,8/7/1951,2514 Via Cordona,1 (11) 500 555-0168,
11053,Ana,E,Price,8/20/1980,1660 Stonyhill Circle,859-555-0113,
11054,Deanna,,Munoz,3/10/1952,5825 B Way,1 (11) 500 555-0192,
11055,Gilbert,,Raje,3/5/1952,8811 The Trees Dr.,1 (11) 500 555-0129,
11056,Michele,L,Nath,4/3/1953,5464 Janin Pl.,1 (11) 500 555-0178,
